Row,RMS,Peak-to-Peak,Kurtosis,Crest Factor,Shape Factor,Impulse Factor,Freq1,Freq2,Freq3,Mag1,Mag2,Mag3,Central Freq,RMS Freq,Freq Variance
25th percentile,2.50730044809677,19.9784020187564,3.06766367038738,3.97122679528239,1.26611170921203,5.02735652834912,8.01885223388672,2.27237752278646,0.798521931966146,7.27676021231426,5.91229708568961,5.79966747501422,2.36342010693832,36.5455527655986,149.484155325402
Median,2.50774347234708,20.3984514481088,3.24044630990915,4.1711912064626,1.28207667519499,5.34715603186615,147.478290303548,2.27313028971354,0.798733520507813,8.99779319485566,5.91431079459099,5.8032679702798,2.61018379235903,39.7288316522816,167.924005103564
75th percentile,2.74121159759238,21.0983351057767,3.24217896276197,4.4646440013924,1.28234746153638,5.72503390785622,175.599682617187,5.1304677327474,147.937491353353,39.5649380626549,8.38121267464796,6.64423186973046,3.00118080787096,42.9345210377671,185.540119753499
